,anxiety_crisis,no_crisis,risk_taking_behaviours,self-harm,substance_abuse_or_withdrawal,suicidal_ideation,violent_thoughts,
anxiety_crisis,0.0,0.5155208298551983,0.014245014245014245,0.0044742729306487695,0.037170882808466706,0.10795781399808246,0.005965697240865026,0.0
no_crisis,0.5155208298551983,0.0,0.5236892460773058,0.1053380440791213,0.047506059446357954,0.12260127931769724,0.24777347828757448,0.0
risk_taking_behaviours,0.014245014245014245,0.5236892460773058,0.0,0.09500805152979065,0.12535612535612536,0.2344118844118844,0.04938271604938271,0.0
self-harm,0.0044742729306487695,0.1053380440791213,0.09500805152979065,0.0,0.028985507246376812,0.09450195537152059,0.0411522633744856,0.0
substance_abuse_or_withdrawal,0.037170882808466706,0.047506059446357954,0.12535612535612536,0.028985507246376812,0.0,0.017765567765567765,0.00411522633744856,0.0
suicidal_ideation,0.10795781399808246,0.12260127931769724,0.2344118844118844,0.09450195537152059,0.017765567765567765,0.0,0.09168136390358614,0.0
violent_thoughts,0.005965697240865026,0.24777347828757448,0.04938271604938271,0.0411522633744856,0.00411522633744856,0.09168136390358614,0.0,0.0
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
