,anxiety_crisis,no_crisis,risk_taking_behaviours,self-harm,substance_abuse_or_withdrawal,suicidal_ideation,violent_thoughts,
anxiety_crisis,0.0,0.5957883923985619,0.049049820236260915,0.018518518518518517,0.01893939393939394,0.09175492791997646,0.007575757575757576,0.0
no_crisis,0.5957883923985619,0.0,0.4088983050847458,0.11589767733835529,0.10736741388737014,0.09577093960835939,0.12213359920239283,0.0
risk_taking_behaviours,0.049049820236260915,0.4088983050847458,0.0,0.06167608286252354,0.22325496628394387,0.2664966266249794,0.06779661016949153,0.0
self-harm,0.018518518518518517,0.11589767733835529,0.06167608286252354,0.0,0.018518518518518517,0.11201006832074792,0.029411764705882353,0.0
substance_abuse_or_withdrawal,0.01893939393939394,0.10736741388737014,0.22325496628394387,0.018518518518518517,0.0,0.0048543689320388345,0.0,0.0
suicidal_ideation,0.09175492791997646,0.09577093960835939,0.2664966266249794,0.11201006832074792,0.0048543689320388345,0.0,0.24985722444317532,0.0
violent_thoughts,0.007575757575757576,0.12213359920239283,0.06779661016949153,0.029411764705882353,0.0,0.24985722444317532,0.0,0.0
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
