Model,Num examples,Mean Evaluations (mean),Mean Evaluations (±95%CI),Mean Std devs (mean),Mean Std devs (±95%CI),eval=1,[0-2.3],(2.3-3.6],(3.6-5]
deepseek-v3.2,6132,4.915253315938248,0.009978924163848763,0.016825986133009337,0.0025042938977453927,0.5055446836268753,0.7664709719504239,0.32615786040443573,98.90737116764514
gpt-4o-mini,6132,4.547646227440748,0.017301909369917226,0.04760591166884787,0.003762980680091054,0.4729288975864318,1.0926288323548596,6.881930854533594,92.02544031311155
gpt-5-nano,6132,4.936208958469233,0.008125836861642654,0.01851121535048814,0.0024607628187800035,0.2609262883235486,0.5055446836268753,0.19569471624266144,99.29876060013046
grok-4-fast,6132,4.748314851054577,0.019901316431318247,0.028361778025124653,0.0029521446511499173,2.7886497064579254,4.207436399217221,1.0273972602739725,94.76516634050881
llama-4-Scout,6132,4.7221950424005215,0.015588205067701737,0.0413257571082327,0.003459299549501943,0.7990867579908676,1.7123287671232876,1.989562948467058,96.29810828440965
